year,lme_copper_inventory_tonnes,comex_copper_inventory_tonnes,shfe_copper_inventory_tonnes,reported_total_inventory_tonnes,calculated_total_inventory_tonnes,total_difference_tonnes
2000,357225,58669,112117,528011,528011,0
2001,799225,243806,94487,1137518,1137518,0
2002,856400,362276,75087,1293763,1293763,0
2003,430525,254863,120631,806019,806019,0
2004,48875,48203,31685,128763,128763,0
2005,96175,6182,57844,160201,160201,0
2006,190575,30915,31300,252790,252790,0
2007,198925,13816,25597,238338,238338,0
2008,340550,31311,15326,387187,387187,0
2009,502400,90230,96362,688992,688992,0
2010,377675,58923,131891,568489,568489,0
2011,371575,79817,93219,544611,544611,0
2012,320500,64149,204773,589422,589422,0
2013,365700,14915,125849,506464,506464,0
2014,177025,23890,111915,312830,312830,0
2015,236225,63233,182835,482293,482293,0
2016,311825,80651,146598,539074,539074,0
2017,200650,191572,150489,542711,542711,0
2018,132175,99868,118686,350729,350729,0
2019,144675,34065,123647,302387,302387,0
2020,105800,70397,120112,296309,296309,0
2021,88725,63201,45162,197088,197088,0
2022,88925,31834,99265,220024,220024,0
