date,year,copper_mine_production_kt,refined_copper_production_kt,refined_copper_usage_kt,preliminary,refined_copper_balance_kt
1960-12-31,1960,3924,4998,4738,False,260
1961-12-31,1961,4081,5127,5050,False,77
1962-12-31,1962,4216,5296,5048,False,248
1963-12-31,1963,4286,5400,5500,False,-100
1964-12-31,1964,4443,5739,5995,False,-256
1965-12-31,1965,4769,6059,6193,False,-134
1966-12-31,1966,4987,6324,6445,False,-121
1967-12-31,1967,4743,6004,6195,False,-191
1968-12-31,1968,5010,6653,6523,False,130
1969-12-31,1969,5682,7212,7137,False,75
1970-12-31,1970,5900,7592,7291,False,301
1971-12-31,1971,5941,7404,7296,False,108
1972-12-31,1972,6541,8100,7942,False,158
1973-12-31,1973,6915,8544,8740,False,-196
1974-12-31,1974,7097,8759,8310,False,449
1975-12-31,1975,6735,8187,7445,False,742
1976-12-31,1976,7289,8632,8539,False,93
1977-12-31,1977,7444,8884,9057,False,-173
1978-12-31,1978,7306,9030,9527,False,-497
1979-12-31,1979,7372,9200,9848,False,-648
1980-12-31,1980,7227,9261,9396,False,-135
1981-12-31,1981,7721,9573,9522,False,51
1982-12-31,1982,7745,9319,9090,False,229
1983-12-31,1983,7824,9541,9510,False,31
1984-12-31,1984,8135,9440,9930,False,-490
1985-12-31,1985,8314,9616,9798,False,-182
1986-12-31,1986,8295,9920,10112,False,-192
1987-12-31,1987,8620,10148,10293,False,-145
1988-12-31,1988,8773,10512,10668,False,-156
1989-12-31,1989,9086,10908,11081,False,-173
1990-12-31,1990,9227,10805,10886,False,-81
1991-12-31,1991,9373,10686,10563,False,123
1992-12-31,1992,9497,11042,10866,False,176
1993-12-31,1993,9571,11274,10992,False,282
1994-12-31,1994,9539,11118,11560,False,-442
1995-12-31,1995,10070,11817,12043,False,-226
1996-12-31,1996,11084,12628,12489,False,139
1997-12-31,1997,11514,13425,13082,False,343
1998-12-31,1998,12228,14032,13440,False,592
1999-12-31,1999,12767,14576,14223,False,353
2000-12-31,2000,13199,14793,15122,False,-329
2001-12-31,2001,13636,15638,14938,False,700
2002-12-31,2002,13487,15354,15133,False,221
2003-12-31,2003,13699,15272,15641,False,-369
2004-12-31,2004,14594,15918,16743,False,-825
2005-12-31,2005,14927,16572,16552,False,20
2006-12-31,2006,14983,17288,16917,False,371
2007-12-31,2007,15508,17895,18026,False,-131
2008-12-31,2008,15532,18191,17877,False,314
2009-12-31,2009,15941,18234,17870,False,364
2010-12-31,2010,15987,18965,19136,False,-171
2011-12-31,2011,15960,19585,19709,False,-124
2012-12-31,2012,16678,20169,20479,False,-310
2013-12-31,2013,18173,21023,21408,False,-385
2014-12-31,2014,18420,22455,22906,False,-451
2015-12-31,2015,19152,22803,23046,False,-243
2016-12-31,2016,20396,23321,23486,False,-165
2017-12-31,2017,20065,23518,23682,False,-164
2018-12-31,2018,20604,24072,24479,False,-407
2019-12-31,2019,20657,24127,24351,False,-224
2020-12-31,2020,20740,24621,24953,False,-332
2021-12-31,2021,21223,24900,25259,False,-359
2022-12-31,2022,21911,25272,25857,False,-585
2023-12-31,2023,22368,26502,26604,False,-102
2024-12-31,2024,22990,27486,27353,True,133
