date,copper_price_usd_per_tonne,source,frequency,unit,vintage_date
1992-01-31,2150.57962901611,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1992-02-29,2208.89225860596,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1992-03-31,2231.78550956421,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1992-04-30,2214.16681599274,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1992-05-31,2219.31505581207,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1992-06-30,2296.44193858643,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1992-07-31,2527.28502240143,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1992-08-31,2513.46998458252,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1992-09-30,2419.61418178101,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1992-10-31,2262.45696237183,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1992-11-30,2161.78909368286,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1992-12-31,2211.95028749237,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1993-01-31,2264.21397077332,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1993-02-28,2212.18139313507,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1993-03-31,2152.38020099945,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1993-04-30,1953.62060192108,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1993-05-31,1799.35169844818,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1993-06-30,1857.87070840454,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1993-07-31,1927.33981992645,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1993-08-31,1951.07137548676,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1993-09-30,1858.24999750519,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1993-10-31,1646.99992897491,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1993-11-30,1632.56810484467,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1993-12-31,1723.6250736618,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
1994-01-31,1807.07136699066,IMF Primary Commodity Prices via ALFRED,monthly,USD per metric tonne,2026-07-13
