date,year,copper_mine_production_kt,refined_copper_production_kt,refined_copper_usage_kt,preliminary
1960-12-31,1960,3924,4998,4738,False
1961-12-31,1961,4081,5127,5050,False
1962-12-31,1962,4216,5296,5048,False
1963-12-31,1963,4286,5400,5500,False
1964-12-31,1964,4443,5739,5995,False
1965-12-31,1965,4769,6059,6193,False
1966-12-31,1966,4987,6324,6445,False
1967-12-31,1967,4743,6004,6195,False
1968-12-31,1968,5010,6653,6523,False
1969-12-31,1969,5682,7212,7137,False
1970-12-31,1970,5900,7592,7291,False
1971-12-31,1971,5941,7404,7296,False
1972-12-31,1972,6541,8100,7942,False
1973-12-31,1973,6915,8544,8740,False
1974-12-31,1974,7097,8759,8310,False
1975-12-31,1975,6735,8187,7445,False
1976-12-31,1976,7289,8632,8539,False
1977-12-31,1977,7444,8884,9057,False
1978-12-31,1978,7306,9030,9527,False
1979-12-31,1979,7372,9200,9848,False
1980-12-31,1980,7227,9261,9396,False
1981-12-31,1981,7721,9573,9522,False
1982-12-31,1982,7745,9319,9090,False
1983-12-31,1983,7824,9541,9510,False
1984-12-31,1984,8135,9440,9930,False
1985-12-31,1985,8314,9616,9798,False
1986-12-31,1986,8295,9920,10112,False
1987-12-31,1987,8620,10148,10293,False
1988-12-31,1988,8773,10512,10668,False
1989-12-31,1989,9086,10908,11081,False
1990-12-31,1990,9227,10805,10886,False
1991-12-31,1991,9373,10686,10563,False
1992-12-31,1992,9497,11042,10866,False
1993-12-31,1993,9571,11274,10992,False
1994-12-31,1994,9539,11118,11560,False
1995-12-31,1995,10070,11817,12043,False
1996-12-31,1996,11084,12628,12489,False
1997-12-31,1997,11514,13425,13082,False
1998-12-31,1998,12228,14032,13440,False
1999-12-31,1999,12767,14576,14223,False
2000-12-31,2000,13199,14793,15122,False
2001-12-31,2001,13636,15638,14938,False
2002-12-31,2002,13487,15354,15133,False
2003-12-31,2003,13699,15272,15641,False
2004-12-31,2004,14594,15918,16743,False
2005-12-31,2005,14927,16572,16552,False
2006-12-31,2006,14983,17288,16917,False
2007-12-31,2007,15508,17895,18026,False
2008-12-31,2008,15532,18191,17877,False
2009-12-31,2009,15941,18234,17870,False
2010-12-31,2010,15987,18965,19136,False
2011-12-31,2011,15960,19585,19709,False
2012-12-31,2012,16678,20169,20479,False
2013-12-31,2013,18173,21023,21408,False
2014-12-31,2014,18420,22455,22906,False
2015-12-31,2015,19152,22803,23046,False
2016-12-31,2016,20396,23321,23486,False
2017-12-31,2017,20065,23518,23682,False
2018-12-31,2018,20604,24072,24479,False
2019-12-31,2019,20657,24127,24351,False
2020-12-31,2020,20740,24621,24953,False
2021-12-31,2021,21223,24900,25259,False
2022-12-31,2022,21911,25272,25857,False
2023-12-31,2023,22368,26502,26604,False
2024-12-31,2024,22990,27486,27353,True
