date,lme_copper_inventory_tonnes,source_id,source,source_row
2023-01-31,75225,SRC-005,Cochilco Table 4.1; underlying Reuters data,5
2023-02-28,64100,SRC-005,Cochilco Table 4.1; underlying Reuters data,5
2023-03-31,64725,SRC-005,Cochilco Table 4.1; underlying Reuters data,5
2023-04-30,64550,SRC-005,Cochilco Table 4.1; underlying Reuters data,5
2023-05-31,99150,SRC-005,Cochilco Table 4.1; underlying Reuters data,5
2023-06-30,72975,SRC-005,Cochilco Table 4.1; underlying Reuters data,5
2023-07-31,68350,SRC-005,Cochilco Table 4.1; underlying Reuters data,5
2023-08-31,102900,SRC-005,Cochilco Table 4.1; underlying Reuters data,5
2023-09-30,167825,SRC-005,Cochilco Table 4.1; underlying Reuters data,5
2023-10-31,176475,SRC-005,Cochilco Table 4.1; underlying Reuters data,5
2023-11-30,175250,SRC-005,Cochilco Table 4.1; underlying Reuters data,5
2023-12-31,167300,SRC-005,Cochilco Table 4.1; underlying Reuters data,5
2024-01-31,146475,SRC-005,Cochilco Table 4.1; underlying Reuters data,7
2024-02-29,122675,SRC-005,Cochilco Table 4.1; underlying Reuters data,7
2024-03-31,112475,SRC-005,Cochilco Table 4.1; underlying Reuters data,7
2024-04-30,116126,SRC-005,Cochilco Table 4.1; underlying Reuters data,7
2024-05-31,116475,SRC-005,Cochilco Table 4.1; underlying Reuters data,7
2024-06-30,180125,SRC-005,Cochilco Table 4.1; underlying Reuters data,7
2024-07-31,239275,SRC-005,Cochilco Table 4.1; underlying Reuters data,7
2024-08-31,320925,SRC-005,Cochilco Table 4.1; underlying Reuters data,7
2024-09-30,300600,SRC-005,Cochilco Table 4.1; underlying Reuters data,7
2024-10-31,271375,SRC-005,Cochilco Table 4.1; underlying Reuters data,7
2024-11-30,271000,SRC-005,Cochilco Table 4.1; underlying Reuters data,7
2024-12-31,271400,SRC-005,Cochilco Table 4.1; underlying Reuters data,7
2025-01-31,256225,SRC-005,Cochilco Table 4.1; underlying Reuters data,9
2025-02-28,262075,SRC-005,Cochilco Table 4.1; underlying Reuters data,9
2025-03-31,211375,SRC-005,Cochilco Table 4.1; underlying Reuters data,9
2025-04-30,200150,SRC-005,Cochilco Table 4.1; underlying Reuters data,9
2025-05-31,149875,SRC-005,Cochilco Table 4.1; underlying Reuters data,9
2025-06-30,90625,SRC-005,Cochilco Table 4.1; underlying Reuters data,9
2025-07-31,138200,SRC-005,Cochilco Table 4.1; underlying Reuters data,9
2025-08-31,158900,SRC-005,Cochilco Table 4.1; underlying Reuters data,9
2025-09-30,143400,SRC-005,Cochilco Table 4.1; underlying Reuters data,9
2025-10-31,134625,SRC-005,Cochilco Table 4.1; underlying Reuters data,9
2025-11-30,159425,SRC-005,Cochilco Table 4.1; underlying Reuters data,9
2025-12-31,147425,SRC-005,Cochilco Table 4.1; underlying Reuters data,9
2026-01-31,174975,SRC-005,Cochilco Table 4.1; underlying Reuters data,11
2026-02-28,253700,SRC-005,Cochilco Table 4.1; underlying Reuters data,11
2026-03-31,362425,SRC-005,Cochilco Table 4.1; underlying Reuters data,11
2026-04-30,399725,SRC-005,Cochilco Table 4.1; underlying Reuters data,11
