date,lme_copper_inventory_tonnes,observation_frequency,source,source_locator
2000-12-31,357225,annual,Copper Council,Annual exchange-inventory table
2001-12-31,799225,annual,Copper Council,Annual exchange-inventory table
2002-12-31,856400,annual,Copper Council,Annual exchange-inventory table
2003-12-31,430525,annual,Copper Council,Annual exchange-inventory table
2004-12-31,48875,annual,Copper Council,Annual exchange-inventory table
2005-12-31,96175,annual,Copper Council,Annual exchange-inventory table
2006-12-31,190575,annual,Copper Council,Annual exchange-inventory table
2007-12-31,198925,annual,Copper Council,Annual exchange-inventory table
2008-12-31,340550,annual,Copper Council,Annual exchange-inventory table
2009-12-31,502400,annual,Copper Council,Annual exchange-inventory table
2010-12-31,377675,annual,Copper Council,Annual exchange-inventory table
2011-12-31,371575,annual,Copper Council,Annual exchange-inventory table
2012-12-31,320500,annual,Copper Council,Annual exchange-inventory table
2013-12-31,365700,annual,Copper Council,Annual exchange-inventory table
2014-12-31,177025,annual,Copper Council,Annual exchange-inventory table
2015-12-31,236225,annual,Copper Council,Annual exchange-inventory table
2016-12-31,311825,annual,Copper Council,Annual exchange-inventory table
2017-12-31,200650,annual,Copper Council,Annual exchange-inventory table
2018-12-31,132175,annual,Copper Council,Annual exchange-inventory table
2019-12-31,144675,annual,Copper Council,Annual exchange-inventory table
2020-12-31,105800,annual,Copper Council,Annual exchange-inventory table
2021-12-31,88725,annual,Copper Council,Annual exchange-inventory table
2022-12-31,88925,annual,Copper Council,Annual exchange-inventory table
2023-01-31,75225,monthly,Cochilco Table 4.1; underlying Reuters data,Cochilco Table 4.1 monthly LME total; monthly observation blocks
2023-02-28,64100,monthly,Cochilco Table 4.1; underlying Reuters data,Cochilco Table 4.1 monthly LME total; monthly observation blocks
2023-03-31,64725,monthly,Cochilco Table 4.1; underlying Reuters data,Cochilco Table 4.1 monthly LME total; monthly observation blocks
2023-04-30,64550,monthly,Cochilco Table 4.1; underlying Reuters data,Cochilco Table 4.1 monthly LME total; monthly observation blocks
2023-05-31,99150,monthly,Cochilco Table 4.1; underlying Reuters data,Cochilco Table 4.1 monthly LME total; monthly observation blocks
2023-06-30,72975,monthly,Cochilco Table 4.1; underlying Reuters data,Cochilco Table 4.1 monthly LME total; monthly observation blocks
2023-07-31,68350,monthly,Cochilco Table 4.1; underlying Reuters data,Cochilco Table 4.1 monthly LME total; monthly observation blocks
2023-08-31,102900,monthly,Cochilco Table 4.1; underlying Reuters data,Cochilco Table 4.1 monthly LME total; monthly observation blocks
2023-09-30,167825,monthly,Cochilco Table 4.1; underlying Reuters data,Cochilco Table 4.1 monthly LME total; monthly observation blocks
2023-10-31,176475,monthly,Cochilco Table 4.1; underlying Reuters data,Cochilco Table 4.1 monthly LME total; monthly observation blocks
2023-11-30,175250,monthly,Cochilco Table 4.1; underlying Reuters data,Cochilco Table 4.1 monthly LME total; monthly observation blocks
