date,year,secondary_refined_production_mt,secondary_refined_production_kt,secondary_refined_production_mt_rounded,secondary_refined_production_kt_rounded
1960-12-31,1960,0.6896057347674827,689.6057347674827,0.69,690.0
1961-12-31,1961,0.7268817204301996,726.8817204301996,0.73,730.0
1962-12-31,1962,0.7082437275986355,708.2437275986355,0.71,710.0
1963-12-31,1963,0.8573476702509808,857.3476702509809,0.86,860.0
1964-12-31,1964,0.8573476702509808,857.3476702509809,0.86,860.0
1965-12-31,1965,1.0437275985664058,1043.727598566406,1.04,1040.0
1966-12-31,1966,1.0810035842294994,1081.0035842294994,1.08,1080.0
1967-12-31,1967,1.0810035842294994,1081.0035842294994,1.08,1080.0
1968-12-31,1968,1.1555555555556731,1155.5555555556732,1.16,1160.0
1969-12-31,1969,1.1555555555556722,1155.5555555556723,1.16,1160.0
1970-12-31,1970,1.2673835125449315,1267.3835125449316,1.27,1270.0
1971-12-31,1971,1.0810035842294994,1081.0035842294994,1.08,1080.0
1972-12-31,1972,1.1182795698925858,1118.2795698925859,1.12,1120.0
1973-12-31,1973,1.192831541218716,1192.831541218716,1.19,1190.0
1974-12-31,1974,1.230107526881774,1230.107526881774,1.23,1230.0
1975-12-31,1975,1.0064516129033123,1006.4516129033123,1.01,1010.0
1976-12-31,1976,1.1182795698925219,1118.279569892522,1.12,1120.0
1977-12-31,1977,1.0996415770609493,1099.6415770609494,1.1,1100.0
1978-12-31,1978,1.3046594982078972,1304.6594982078973,1.3,1300.0
1979-12-31,1979,1.4164874551971494,1416.4874551971493,1.42,1420.0
1980-12-31,1980,1.4910394265233222,1491.0394265233222,1.49,1490.0
1981-12-31,1981,1.4537634408602003,1453.7634408602003,1.45,1450.0
1982-12-31,1982,1.4910394265233151,1491.0394265233151,1.49,1490.0
1983-12-31,1983,1.4910394265232796,1491.0394265232796,1.49,1490.0
1984-12-31,1984,1.4164874551971147,1416.4874551971147,1.42,1420.0
1985-12-31,1985,1.5655913978494453,1565.5913978494455,1.57,1570.0
1986-12-31,1986,1.3792114695340274,1379.2114695340274,1.38,1380.0
1987-12-31,1987,1.56559139784944,1565.59139784944,1.57,1570.0
1988-12-31,1988,1.7519713261648509,1751.9713261648508,1.75,1750.0
1989-12-31,1989,1.9010752688171806,1901.0752688171806,1.9,1900.0
1990-12-31,1990,1.9010752688171806,1901.0752688171806,1.9,1900.0
1991-12-31,1991,1.8637992831540924,1863.7992831540923,1.86,1860.0
1992-12-31,1992,1.8265232974910148,1826.5232974910148,1.83,1830.0
1993-12-31,1993,1.8637992831540942,1863.7992831540942,1.86,1860.0
1994-12-31,1994,1.7892473118279337,1789.2473118279338,1.79,1790.0
1995-12-31,1995,2.0874551971325914,2087.4551971325914,2.09,2090.0
1996-12-31,1996,2.0129032258064257,2012.9032258064258,2.01,2010.0
1997-12-31,1997,2.0874551971325914,2087.4551971325914,2.09,2090.0
1998-12-31,1998,2.124731182795669,2124.731182795669,2.12,2120.0
1999-12-31,1999,2.1247311827956707,2124.731182795671,2.12,2120.0
2000-12-31,2000,2.124731182795669,2124.731182795669,2.12,2120.0
2001-12-31,2001,1.9383512544802652,1938.3512544802652,1.94,1940.0
2002-12-31,2002,1.8637992831540942,1863.7992831540942,1.86,1860.0
2003-12-31,2003,1.8078853046594645,1807.8853046594645,1.81,1810.0
2004-12-31,2004,2.0874551971325914,2087.4551971325914,2.09,2090.0
2005-12-31,2005,2.1247311827956725,2124.7311827956723,2.12,2120.0
2006-12-31,2006,2.6093189964157375,2609.3189964157373,2.61,2610.0
2007-12-31,2007,2.721146953404986,2721.146953404986,2.72,2720.0
2008-12-31,2008,2.7956989247311483,2795.6989247311485,2.8,2800.0
2009-12-31,2009,2.8329749103942277,2832.9749103942277,2.83,2830.0
2010-12-31,2010,3.280286738351217,3280.286738351217,3.28,3280.0
2011-12-31,2011,3.448028673835095,3448.028673835095,3.45,3450.0
2012-12-31,2012,3.5784946236558675,3578.4946236558676,3.58,3580.0
2013-12-31,2013,3.8394265232974387,3839.4265232974385,3.84,3840.0
2014-12-31,2014,3.932616487455153,3932.616487455153,3.93,3930.0
2015-12-31,2015,3.951254480286689,3951.254480286689,3.95,3950.0
2016-12-31,2016,3.9139784946236045,3913.9784946236045,3.91,3910.0
2017-12-31,2017,4.063082437275936,4063.082437275936,4.06,4060.0
2018-12-31,2018,4.025806451612855,4025.8064516128547,4.03,4030.0
2019-12-31,2019,3.9885304659497685,3988.5304659497683,3.99,3990.0
2020-12-31,2020,3.8394265232974476,3839.4265232974476,3.84,3840.0
2021-12-31,2021,4.137634408602093,4137.634408602093,4.14,4140.0
2022-12-31,2022,4.100358422939017,4100.358422939017,4.1,4100.0
2023-12-31,2023,4.491756272401364,4491.756272401364,4.49,4490.0
2024-12-31,2024,4.696774193548329,4696.774193548329,4.7,4700.0
